sampleID,AC.BC,focal.sp,Lib,pot,roots_soil,treatment,ID,PlaSpe,SampleName,sampleMass,PlantSpeciesfull,PlantFamily,DW_above,DW_roots,M1_M2_order
R01,M1,S1,01Lib,S101,roots,M1_S1,1,AchMil,S101,0.1021,A. millefolium,Asteraceae,0.417,0.271764706,1
R02,M1,S1,01Lib,S102,roots,M1_S1,2,AchMil,S102,0.0767,A. millefolium,Asteraceae,0.5,0.233801527,1
R05,M1,S1,01Lib,S105,roots,M1_S1,5,AchMil,S105,0.0973,A. millefolium,Asteraceae,0.435,0.395716946,1
R09,M1,S1,01Lib,S109,roots,M1_S1,9,AchMil,S109,0.1052,A. millefolium,Asteraceae,0.469,0.281015521,1
R10,M1,S1,01Lib,S110,roots,M1_S1,10,AchMil,S110,0.1107,A. millefolium,Asteraceae,0.549,0.407068273,1
S01,M1,S1,02Lib,S101,soil,M1_S1,1,AchMil,S101,0.6689,A. millefolium,Asteraceae,NA,NA,1
S10,M1,S1,02Lib,S110,soil,M1_S1,10,AchMil,S110,0.6126,A. millefolium,Asteraceae,NA,NA,1
S02,M1,S1,02Lib,S102,soil,M1_S1,2,AchMil,S102,0.6084,A. millefolium,Asteraceae,NA,NA,1
S05,M1,S1,02Lib,S105,soil,M1_S1,5,AchMil,S105,0.6151,A. millefolium,Asteraceae,NA,NA,1
R12,M1,S2,01Lib,S202,roots,M1_S2,12,CicInt,S202,0.1094,C. intybus,Asteraceae,0.6,0.718628571,2
R13,M1,S2,01Lib,S203,roots,M1_S2,13,CicInt,S203,0.0864,C. intybus,Asteraceae,0.385,0.612039381,2
R14,M1,S2,01Lib,S204,roots,M1_S2,14,CicInt,S204,0.096,C. intybus,Asteraceae,0.529,1.04749702,2
R15,M1,S2,01Lib,S205,roots,M1_S2,15,CicInt,S205,0.1067,C. intybus,Asteraceae,0.71,1.335382631,2
R18,M1,S2,01Lib,S208,roots,M1_S2,18,CicInt,S208,0.0993,C. intybus,Asteraceae,0.552,2.23725731,2
S12,M1,S2,02Lib,S202,soil,M1_S2,12,CicInt,S202,0.6093,C. intybus,Asteraceae,NA,NA,2
S13,M1,S2,02Lib,S203,soil,M1_S2,13,CicInt,S203,0.6348,C. intybus,Asteraceae,NA,NA,2
S14,M1,S2,02Lib,S204,soil,M1_S2,14,CicInt,S204,0.6126,C. intybus,Asteraceae,NA,NA,2
S15,M1,S2,02Lib,S205,soil,M1_S2,15,CicInt,S205,0.6105,C. intybus,Asteraceae,NA,NA,2
S18,M1,S2,02Lib,S208,soil,M1_S2,18,CicInt,S208,0.5976,C. intybus,Asteraceae,NA,NA,2
R71,M1,G4,01Lib,G401,roots,M1_G4,71,PlaLan,G401,0.0989,P. lanceolata,Plantaginaceae,0.412,0.417770067,3
R72,M1,G4,01Lib,G402,roots,M1_G4,72,PlaLan,G402,0.0968,P. lanceolata,Plantaginaceae,0.55,0.456018609,3
R73,M1,G4,01Lib,G403,roots,M1_G4,73,PlaLan,G403,0.1003,P. lanceolata,Plantaginaceae,0.734,0.682913295,3
R77,M1,G4,01Lib,G407,roots,M1_G4,77,PlaLan,G407,0.1068,P. lanceolata,Plantaginaceae,0.406,0.503471051,3
S71,M1,G4,02Lib,G401,soil,M1_G4,71,PlaLan,G401,0.6615,P. lanceolata,Plantaginaceae,NA,NA,3
S72,M1,G4,02Lib,G402,soil,M1_G4,72,PlaLan,G402,0.6155,P. lanceolata,Plantaginaceae,NA,NA,3
S73,M1,G4,02Lib,G403,soil,M1_G4,73,PlaLan,G403,0.6087,P. lanceolata,Plantaginaceae,NA,NA,3
S77,M1,G4,02Lib,G407,soil,M1_G4,77,PlaLan,G407,0.6059,P. lanceolata,Plantaginaceae,NA,NA,3
S80,M1,G4,19Lib,G410,soil,M1_G4,80,PlaLan,G410,0.64,P. lanceolata,Plantaginaceae,NA,NA,3
R80,M1,G4,19Lib,G410,roots,M1_G4,80,PlaLan,G410,0.1009,P. lanceolata,Plantaginaceae,0.373,0.4839819,3
R21,M1,S3,01Lib,S301,roots,M1_S3,21,PoaCit,S301,0.0583,P. cita,Poaceae,0.841,0.1287,4
R25,M1,S3,01Lib,S305,roots,M1_S3,25,PoaCit,S305,0.0978,P. cita,Poaceae,0.799,0.328125,4
R26,M1,S3,01Lib,S306,roots,M1_S3,26,PoaCit,S306,0.1075,P. cita,Poaceae,0.541,0.266656627,4
R28,M1,S3,01Lib,S308,roots,M1_S3,28,PoaCit,S308,0.0713,P. cita,Poaceae,1.091,0.166923077,4
R30,M1,S3,01Lib,S310,roots,M1_S3,30,PoaCit,S310,0.0403,P. cita,Poaceae,0.842,0.092,4
S21,M1,S3,02Lib,S301,soil,M1_S3,21,PoaCit,S301,0.6083,P. cita,Poaceae,NA,NA,4
S25,M1,S3,02Lib,S305,soil,M1_S3,25,PoaCit,S305,0.6408,P. cita,Poaceae,NA,NA,4
S26,M1,S3,02Lib,S306,soil,M1_S3,26,PoaCit,S306,0.6856,P. cita,Poaceae,NA,NA,4
S28,M1,S3,02Lib,S308,soil,M1_S3,28,PoaCit,S308,0.6258,P. cita,Poaceae,NA,NA,4
S30,M1,S3,02Lib,S310,soil,M1_S3,30,PoaCit,S310,0.6222,P. cita,Poaceae,NA,NA,4
S40,M1,S4,19Lib,S410,soil,M1_S4,40,SchAru,S410,0.5998,S. arundinaceus,Poaceae,NA,NA,5
R40,M1,S4,19Lib,S410,roots,M1_S4,40,SchAru,S410,0.101,S. arundinaceus,Poaceae,0.705,0.70205315,5
R34,M1,S4,01Lib,S404,roots,M1_S4,34,SchAru,S404,0.0993,S. arundinaceus,Poaceae,0.78,0.621271255,5
R36,M1,S4,01Lib,S406,roots,M1_S4,36,SchAru,S406,0.1002,S. arundinaceus,Poaceae,0.641,0.538923142,5
R38,M1,S4,01Lib,S408,roots,M1_S4,38,SchAru,S408,0.104,S. arundinaceus,Poaceae,0.95,0.65022977,5
R39,M1,S4,01Lib,S409,roots,M1_S4,39,SchAru,S409,0.2528,S. arundinaceus,Poaceae,1.111,0.661313889,5
S34,M1,S4,02Lib,S404,soil,M1_S4,34,SchAru,S404,0.6162,S. arundinaceus,Poaceae,NA,NA,5
S36,M1,S4,02Lib,S406,soil,M1_S4,36,SchAru,S406,0.6111,S. arundinaceus,Poaceae,NA,NA,5
S38,M1,S4,02Lib,S408,soil,M1_S4,38,SchAru,S408,0.6133,S. arundinaceus,Poaceae,NA,NA,5
S39,M1,S4,02Lib,S409,soil,M1_S4,39,SchAru,S409,0.616,S. arundinaceus,Poaceae,NA,NA,5
R61,M1,G3,01Lib,G301,roots,M1_G3,61,BroWil,G301,0.1224,B. willdenowii,Poaceae,0.855,0.239,6
R62,M1,G3,01Lib,G302,roots,M1_G3,62,BroWil,G302,0.1031,B. willdenowii,Poaceae,0.737,0.249,6
