"sampleID","filename"
"AchMil1","Yarrow_157_1"
"AchMil2","Yarrow_159_3"
"AchMil3","Yarrow_160_2"
"AchMil4","Yarrow_163_7"
"AchMil5","Yarrow_164_8"
"AgrCap1","1_Ag_57_2"
"AgrCap2","2_Ag_58_3"
"AgrCap3","Ag_59_4"
"AgrCap5","Ag_61_6"
"AloPra1","Fox_82_1"
"AloPra2","Fox_84_3"
"AloPra3","Fox_85_4"
"AloPra4","Fox_87_6"
"AloPra5","Fox_88_7"
"BroWil1","BW_41_1"
"BroWil2","BW_42_2"
"BroWil3","BW_43_3"
"BroWil4","BW_44_4"
"BroWil5","BW_48_8"
"CicInt1","17_Chic_121_5"
"CicInt2","20_Chic_129_3"
"CicInt3","Chic_118_2"
"CicInt4","Chic_122_6"
"CicInt5","Chic_124_8"
"CirVul1","CV_10_1"
"CirVul2","CV_12_3"
"CirVul3","CV_13_4"
"CirVul4","CV_14_5"
"CirVul5","CV_15_6"
"CynCri1","Dog_70_1"
"CynCri2","Dog_71_2"
"CynCri3","Dog_73_4"
"CynCri4","Dog_74_5"
"CynCri5","Dog_75_6"
"DacGlo1","22_Cox_92_2"
"DacGlo2","Cox_0_01"
"DacGlo3","Cox_93_3"
"DacGlo4","Cox_95_5"
"DacGlo5","Cox_96_0"
"ElyRep1","Elym_78_1"
"ElyRep2","Elym_79_2"
"ElyRep3","Elym_80_3"
"HolLan1","H_32_1"
"HolLan2","H_33_2"
"HolLan3","H_34_3"
"HolLan4","H_37_6"
"HolLan5","H_39_8"
"LeoAut1","Leon_18_1"
"LeoAut2","Leon_19_2"
"LeoAut3","Leon_20_3"
"LeoAut4","Leon_21_4"
"LeoAut5","Leon_23_6"
"LolPer1","81_Rye_140_8"
"LolPer2","Rye_134_2"
"LolPer3","Rye_135_3"
"LolPer4","Rye_136_4"
"LolPer5","Rye_137_5"
"MedSat1","Med_142_2"
"MedSat2","Med_143_3"
"MedSat3","Med_145_5"
"MedSat4","Med_146_6"
"MedSat5","Med_147_7"
"PhlPra1","Ti_62_1"
"PhlPra2","Ti_64_3"
"PhlPra3","Ti_65_4"
"PhlPra4","Ti_67_6"
"PhlPra5","Ti_68_7"
"PlaLan1","PL_171_8"
"PlaLan2","PL_49_1"
"PlaLan3","PL_52_4"
"PlaLan4","PL_53_3"
"PlaLan5","PL_54_6"
"PlaMaj1","PLM_125_1"
"PlaMaj2","PLM_126_2"
"PlaMaj3","PLM_127_3"
"PlaMaj4","PLM_130_6"
"PlaMaj5","PLM_139_5"
"PoaCit1","Poa_149_1"
"PoaCit2","Poa_150_2"
"PoaCit3","Poa_156_8"
"SchAru1","TallF_100_3"
"SchAru2","TallF_102_5"
"SchAru3","TallF_103_6"
"SchAru4","TallF_105_8"
"SchAru5","TallF_99_2"
"Soil1","Soil_1"
"Soil2","Soil_2"
"Soil3","Soil_3"
"Soil4","Soil_4"
"Soil5","Soil_5"
"TriPra1","Red_111_4"
"TriPra2","Red_112_5"
"TriPra3","Red_113_6"
"TriPra4","Red_115_8"
"TriPra5","Red_116_9"
"UncUnc1","Unci_164_1"
"UncUnc2","Unci_168_5"
"UncUnc3","Unci_170_7"
"R01","Lib01_F1-R3"
"R02","Lib01_F1-R4"
"R05","Lib01_F1-R5"
"R09","Lib01_F1-R6"
"R10","Lib01_F1-R7"
"R12","Lib01_F1-R8"
"R13","Lib01_F1-R9"
"R14","Lib01_F1-R10"
"R15","Lib01_F1-R11"
"R18","Lib01_F1-R12"
"R21","Lib01_F1-R13"
"R25","Lib01_F1-R14"
"R26","Lib01_F1-R15"
"R28","Lib01_F1-R16"
"R30","Lib01_F1-R17"
"R34","Lib01_F1-R18"
"R36","Lib01_F1-R19"
"R38","Lib01_F1-R20"
"R39","Lib01_F1-R21"
"R42","Lib01_F2-R3"
"R44","Lib01_F2-R4"
"R45","Lib01_F2-R5"
"R46","Lib01_F2-R6"
"R47","Lib01_F2-R7"
"R51","Lib01_F2-R8"
"R53","Lib01_F2-R9"
"R54","Lib01_F2-R10"
"R55","Lib01_F2-R11"
"R59","Lib01_F2-R12"
"R61","Lib01_F2-R13"
"R62","Lib01_F2-R14"
"R65","Lib01_F2-R15"
"R66","Lib01_F2-R16"
"R68","Lib01_F2-R17"
"R71","Lib01_F2-R18"
"R72","Lib01_F2-R19"
"R73","Lib01_F2-R20"
"R77","Lib01_F2-R21"
"S01","Lib02_F1-R3"
"S10","Lib02_F1-R7"
"S12","Lib02_F1-R8"
"S13","Lib02_F1-R9"
"S14","Lib02_F1-R10"
"S15","Lib02_F1-R11"
"S18","Lib02_F1-R12"
"S02","Lib02_F1-R4"
"S21","Lib02_F1-R13"
"S25","Lib02_F1-R14"
"S26","Lib02_F1-R15"
"S28","Lib02_F1-R16"
"S30","Lib02_F1-R17"
"S34","Lib02_F1-R18"
"S36","Lib02_F1-R19"
"S38","Lib02_F1-R20"
"S39","Lib02_F1-R21"
"S42","Lib02_F2-R3"
"S44","Lib02_F2-R4"
"S45","Lib02_F2-R5"
"S46","Lib02_F2-R6"
"S47","Lib02_F2-R7"
"S05","Lib02_F1-R5"
"S51","Lib02_F2-R8"
"S53","Lib02_F2-R9"
"S54","Lib02_F2-R10"
"S55","Lib02_F2-R11"
"S59","Lib02_F2-R12"
"S61","Lib02_F2-R13"
"S62","Lib02_F2-R14"
"S65","Lib02_F2-R15"
"S66","Lib02_F2-R16"
"S68","Lib02_F2-R17"
"S71","Lib02_F2-R18"
"S72","Lib02_F2-R19"
"S73","Lib02_F2-R20"
"S77","Lib02_F2-R21"
"Sc1","Lib02_F1-R6"
"S40","Lib19_F2-R18"
"S80","Lib19_F2-R20"
"R40","Lib19_F2-R16"
"R80","Lib19_F2_R19"
"Sc2","Lib19_F1-R21"
"Sc3","Lib19_F2-R13"
